sample-id	day	lot	protein	moisture	fat	salt	collagen	meat_weight	temp	avgL	avga	avgb	logcfu	avgTBARS	spoilage
d0_1	0	1	19.15	68.01	10.79	0.21	1.68	225	40	54.581	35.047	26.13366667	3.954242509	3.13797	notspoil
d0_2	0	2	19.2	68.23	10.29	0.24	1.73	225	40	55.83533333	33.81566667	25.59433333	2.224014811	3.2203875	notspoil
d0_3	0	3	18.98	68.62	10.07	0.32	1.64	225	40	55.266	35.56766667	26.62333333	3.286725717	3.15018	notspoil
d1_1	1	1	18.54	68.27	10.55	0.32	1.67	226.98	49.6	57.00666667	33.608	25.042	4.042712051	4.0293	notspoil
d1_2	1	2	18.7	68.34	10.26	0.31	1.52	226.73	46.8	54.944	35.498	27.04	4.050356835	3.38217	notspoil
d1_3	1	3	18.78	68.43	10.46	0.07	1.93	226.93	46.3	56.03866667	31.527	23.30766667	4.36877988	3.67521	notspoil
d2_1	2	1	18.86	68.04	10.45	0.5	1.4	223.68	50.8	51.91066667	17.464	15.61966667	5.649373141	6.611715	notspoil
d2_2	2	2	18.69	68.19	10.37	0.67	1.44	226.53	45.1	52.37433333	21.62	17.55433333	4.851645689	4.7771625	notspoil
d2_3	2	3	18.54	68.08	10.62	0.36	1.23	226.22	44.2	52.856	19.638	16.85133333	5.052925337	4.77411	notspoil
d3_1	3	1	18.57	68.23	10.36	0.53	1.72	225.54	44.6	51.724	17.55533333	16.67666667	5.735032196	5.9920575	notspoil
d3_2	3	2	18.35	67.89	10.63	0.49	2	225.24	44.1	52.17433333	16.11466667	16.60666667	5.437240715	6.4926675	notspoil
d3_3	3	3	18.65	68.11	10.1	0.42	1.55	225.88	44.6	54.96633333	15.67566667	15.69466667	5.904139255	4.768005	notspoil
d4_1	4	1	17.96	66.95	10.85	0.86	0.93	225.59	44	52.98833333	9.795333333	14.83533333	6.569309217	5.84859	notspoil
d4_2	4	2	18.73	67.51	10.2	0.36	1.83	223.02	43.8	54.39833333	9.992	13.29533333	6.804263017	5.586075	notspoil
d4_3	4	3	18.37	67.93	10.22	0.49	1.64	226.15	43.6	51.02366667	13.85466667	16.12166667	6.243038049	5.59218	notspoil
d5_1	5	1	17.92	67.49	10.45	0.75	2.01	224.82	43.3	53.71133333	9.189333333	14.78466667	7.019131204	5.3724	notspoil
d5_2	5	2	18.73	67.98	10.56	0.35	1.91	224.84	43.2	54.47766667	9.828666667	14.70466667	7.040168912	4.035405	notspoil
d5_3	5	3	18.56	67.84	10.78	0.6	1.99	224.73	43.3	52.76633333	9.914666667	15.33966667	6.931542413	6.55677	notspoil
d6_1	6	1	18.3	67.84	10.33	0.57	1.95	222.98	43.4	53.36666667	9.662	14.55466667	7.397940009	5.463975	spoiled
d6_2	6	2	19.02	67.87	10.38	0.23	1.91	223.52	43.1	52.54133333	11.33166667	15.816	7.342422681	9.652005	spoiled
